Date,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE,y10_real
2000-01-03,56.671016693115234,34.77257537841797,0.8377244472503662,35.4436149597168,23.52922248840332,24.710647583007812,31.155248641967773,54.98050308227539,22.85175132751465,16.274667739868164,
2000-01-04,54.74740982055664,32.821773529052734,0.7670957446098328,34.24631118774414,21.450180053710938,23.55678367614746,29.830322265625,49.691322326660156,21.72271156311035,14.90939712524414,
2000-01-05,56.671016693115234,32.721214294433594,0.7783207297325134,34.60740661621094,20.317293167114258,23.752042770385742,29.11104393005371,47.96659851074219,20.909805297851562,15.204174995422363,
2000-01-06,55.69393539428711,32.17820358276367,0.7109661102294922,33.44810485839844,19.122154235839844,22.367401123046875,28.316102981567383,42.94570541381836,20.943683624267578,15.328289985656738,
2000-01-07,55.44967269897461,34.06867980957031,0.7446439266204834,33.885231018066406,20.59117889404297,23.29050064086914,28.467498779296875,45.99274444580078,21.124330520629883,16.072986602783203,
2000-01-10,57.64812088012695,35.33568572998047,0.7315469980239868,34.13227844238281,23.0561466217041,24.355623245239258,30.417089462280273,48.867271423339844,22.82916831970215,16.693565368652344,
2000-01-11,58.13663101196289,34.26979064941406,0.6941275596618652,33.25807571411133,22.383882522583008,25.473989486694336,30.133159637451172,44.287174224853516,21.824325561523438,15.545493125915527,
2000-01-12,58.380916595458984,33.40499496459961,0.6524989008903503,32.17482376098633,21.03936004638672,25.917787551879883,30.587404251098633,42.389984130859375,22.95336151123047,15.46792221069336,
2000-01-13,57.7702522277832,34.169227600097656,0.7240626811981201,32.782962799072266,20.927309036254883,25.86453628540039,31.00383949279785,43.884742736816406,22.490463256835938,16.29018783569336,
2000-01-14,58.441959381103516,34.61167907714844,0.7516594529151917,34.13227844238281,21.27588653564453,29.27289390563965,32.66950225830078,43.060707092285156,24.500139236450195,16.46084213256836,
2000-01-18,56.54890060424805,36.03959274291992,0.7778530120849609,35.06351089477539,22.15979766845703,29.006622314453125,33.426612854003906,42.63908767700195,24.40983772277832,15.886811256408691,
2000-01-19,58.380916595458984,36.1401481628418,0.7974987030029297,32.53591537475586,22.757354736328125,28.420801162719727,33.161617279052734,44.9578971862793,25.719512939453125,15.669604301452637,
2000-01-20,58.13663101196289,36.16025161743164,0.8494177460670471,32.23182678222656,23.603919982910156,27.160402297973633,34.1837158203125,47.717445373535156,25.290481567382812,15.840270042419434,
2000-01-21,59.357975006103516,37.085391998291016,0.8330472111701965,31.54766845703125,23.778209686279297,27.817235946655273,33.55438232421875,47.506656646728516,25.516277313232422,15.607552528381348,
2000-01-24,59.357975006103516,35.09435272216797,0.7951599955558777,30.787485122680664,21.587127685546875,28.065771102905273,33.578033447265625,42.94570541381836,25.38079261779785,15.033514976501465,
2000-01-25,58.197715759277344,36.07981491088867,0.8400627374649048,31.262592315673828,22.48348617553711,28.84686279296875,34.48657989501953,45.68610763549805,26.092100143432617,15.638577461242676,
2000-01-26,57.03741455078125,34.49102020263672,0.8246272802352905,30.21733856201172,21.935705184936523,27.40892791748047,34.07015609741211,38.21230697631836,24.263051986694336,15.188661575317383,
2000-01-27,55.44967269897461,34.31000518798828,0.8232241868972778,30.027301788330078,20.640981674194336,27.870506286621094,34.23466873168945,36.7942008972168,24.477569580078125,15.56100845336914,
