,indpro,payems,pi_transfer,real_manf_trade,personal_consump,capacity_util
1919-01-01,,,,,,
1919-02-01,-0.04520093005506065,,,,,
1919-03-01,-0.029341159296598862,,,,,
1919-04-01,0.017703455216389052,,,,,
1919-05-01,0.005824985883812417,,,,,
1919-06-01,0.061991558042839845,,,,,
1919-07-01,0.058371901616524724,,,,,
1919-08-01,0.015348970671473117,,,,,
1919-09-01,-0.02051168401647807,,,,,
1919-10-01,-0.010406082180964837,,,,,
1919-11-01,-0.015834774694196918,,,,,
1919-12-01,0.015834774694196918,,,,,
1920-01-01,0.0900609169475941,,,,,
1920-02-01,0.0,,,,,
1920-03-01,-0.019340394725992693,,,,,
1920-04-01,-0.05515172669563162,,,,,
1920-05-01,0.025458497564448512,,,,,
1920-06-01,0.00998987047159372,,,,,
1920-07-01,-0.02518327318552438,,,,,
1920-08-01,0.005083875820955264,,,,,
1920-09-01,-0.03618124404886092,,,,,
1920-10-01,-0.04301351889754823,,,,,
1920-11-01,-0.08601018660197024,,,,,
1920-12-01,-0.0617538143413483,,,,,
1921-01-01,-0.05902186443579005,,,,,
1921-02-01,-0.020482857596672455,,,,,
1921-03-01,-0.027971127421230646,,,,,
1921-04-01,0.0,,,,,
1921-05-01,0.027971127421230646,,,,,
1921-06-01,-0.00691332857156346,,,,,
1921-07-01,-0.0069874252359312106,,,,,
1921-08-01,0.034383611404167125,,,,,
1921-09-01,0.006727127588585624,,,,,
1921-10-01,0.05863752700162417,,,,,
1921-11-01,-0.01272606823883149,,,,,
1921-12-01,-0.006424286230050313,,,,,
1922-01-01,0.03796392015166439,,,,,
1922-02-01,0.04256153662148621,,,,,
1922-03-01,0.05219699309538295,,,,,
1922-04-01,-0.034493537878993896,,,,,
1922-05-01,0.05130415303510616,,,,,
1922-06-01,0.048780339683866414,,,,,
1922-07-01,0.0,,,,,
1922-08-01,-0.02138917197100021,,,,,
1922-09-01,0.052648365906657224,,,,,
1922-10-01,0.05487577819059175,,,,,
1922-11-01,0.04275339059890193,,,,,
1922-12-01,0.027530613390458925,,,,,
1923-01-01,-0.022894951918603024,,,,,
1923-02-01,0.013796383905613663,,,,,
1923-03-01,0.03146462005122874,,,,,
1923-04-01,0.021892812398285777,,,,,
1923-05-01,0.012890213860678346,,,,,
1923-06-01,-0.0085749875935901,,,,,
1923-07-01,-0.00866530079455341,,,,,
1923-08-01,-0.017542737870820613,,,,,
1923-09-01,-0.02236605203823938,,,,,
1923-10-01,-0.004530495913478427,,,,,
1923-11-01,0.0,,,,,
1923-12-01,-0.023000117476980497,,,,,
1924-01-01,0.022983237133296308,,,,,
1924-02-01,0.01803357725173993,,,,,
1924-03-01,-0.01801669690805574,,,,,
1924-04-01,-0.03233641089048955,,,,,
1924-05-01,-0.04318140218475719,,,,,
1924-06-01,-0.045111473191227436,,,,,
1924-07-01,-0.015507459789717792,,,,,
1924-08-01,0.0358107162427137,,,,,
1924-09-01,0.03457252173759584,,,,,
1924-10-01,0.02397521505430822,,,,,
1924-11-01,0.01877817554459371,,,,,
1924-12-01,0.027530613390458925,,,,,
1925-01-01,0.03118403295571537,,,,,
1925-02-01,0.0,,,,,
1925-03-01,0.0,,,,,
1925-04-01,0.008724756953344626,,,,,
1925-05-01,-0.004352863333864754,,,,,
1925-06-01,-0.008779344436919745,,,,,
1925-07-01,0.026094193635501695,,,,,
1925-08-01,-0.01731484919858195,,,,,
1925-09-01,-0.013189874536955859,,,,,
1925-10-01,0.03905890576439841,,,,,
1925-11-01,0.02104748313728977,,,,,
1925-12-01,0.012425194452724941,,,,,
1926-01-01,-0.01659629281462438,,,,,
1926-02-01,0.0,,,,,
1926-03-01,0.012476806747894198,,,,,
1926-04-01,0.0,,,,,
1926-05-01,-0.008305708385994759,,,,,
1926-06-01,0.012425194452724941,,,,,
1926-07-01,0.004102585499126343,,,,,
1926-08-01,0.0122227609677934,,,,,
1926-09-01,0.01606310498207031,,,,,
1926-10-01,0.0,,,,,
1926-11-01,-0.003987937712745193,,,,,
1926-12-01,-0.004003905057970547,,,,,
1927-01-01,-0.004034975212179104,,,,,
1927-02-01,0.008038880270149651,,,,,
1927-03-01,0.011931095564983618,,,,,
1927-04-01,-0.024006262834308734,,,,,
1927-05-01,0.008071262211354568,,,,,
1927-06-01,-0.004034975212179104,,,,,
1927-07-01,-0.012173224929602489,,,,,
1927-08-01,0.0,,,,,
1927-09-01,-0.0164598304461836,,,,,
1927-10-01,-0.02095931726929323,,,,,
1927-11-01,0.0,,,,,
1927-12-01,0.004224020350104052,,,,,
1928-01-01,0.020887232762149877,,,,,
1928-02-01,0.008222071565856526,,,,,
1928-03-01,0.008170116309373254,,,,,
1928-04-01,-0.004084293272006878,,,,,
1928-05-01,0.012173224929602489,,,,,
1928-06-01,0.008038880270149651,,,,,
1928-07-01,0.011931095564983618,,,,,
1928-08-01,0.019564577529989302,,,,,
1928-09-01,0.007728468047958126,,,,,
1928-10-01,0.019042805044574118,,,,,
1928-11-01,0.018686942685468333,,,,,
1928-12-01,0.018357641352919174,,,,,
1929-01-01,0.014439280490762041,,,,,
1929-02-01,-0.0036003399204593833,,,,,
1929-03-01,0.0036003399204593833,,,,,
1929-04-01,0.01775748828047785,,,,,
1929-05-01,0.017460503858106602,,,,,
1929-06-01,0.006889513740944597,,,,,
1929-07-01,0.013650834620076324,,,,,
1929-08-01,-0.010223795906366018,,,,,
1929-09-01,-0.006865862420968316,,,,,
1929-10-01,-0.017399830578451958,,,,,
1929-11-01,-0.05035896377290072,,,,,
1929-12-01,-0.04530049454027152,,,,,
1930-01-01,0.0,,,,,
1930-02-01,-0.0038645309023286334,,,,,
1930-03-01,-0.015623844494284445,,,,,
1930-04-01,-0.007911793672392475,,,,,
1930-05-01,-0.01599891519844565,,,,,
1930-06-01,-0.028633055375786087,,,,,
1930-07-01,-0.04671742357390163,,,,,
1930-08-01,-0.02197280695571502,,,,,
1930-09-01,-0.017935982953344975,,,,,
1930-10-01,-0.027530613390458925,,,,,
1930-11-01,-0.023523917261515592,,,,,
1930-12-01,-0.02410876594379907,,,,,
1931-01-01,-0.004885012392951582,,,,,
1931-02-01,0.004885012392951582,,,,,
1931-03-01,0.019340394725992693,,,,,
1931-04-01,0.0047683712178063775,,,,,
1931-05-01,-0.014391812950983907,,,,,
1931-06-01,-0.024444168392395715,,,,,
1931-07-01,-0.014966013731602557,,,,,
1931-08-01,-0.0358107162427137,,,,,
1931-09-01,-0.048019682938259534,,,,,
1931-10-01,-0.039004002663442394,,,,,
1931-11-01,-0.011417054176795505,,,,,
1931-12-01,-0.005757783006204553,,,,,
1932-01-01,-0.029341159296598862,,,,,
1932-02-01,-0.024095394965805816,,,,,
1932-03-01,-0.012257512440525309,,,,,
1932-04-01,-0.07031513210592033,,,,,
1932-05-01,-0.033688712557931044,,,,,
1932-06-01,-0.034836989842199184,,,,,
1932-07-01,-0.02877608083498795,,,,,
1932-08-01,0.02877608083498795,,,,,
1932-09-01,0.06186328817903952,,,,,
1932-10-01,0.03280499696019157,,,,,
1932-11-01,0.0,,,,,
1932-12-01,-0.019548694328327176,,,,,
1933-01-01,-0.01993847820441519,,,,,
1933-02-01,0.006682175572550797,,,,,
1933-03-01,-0.06186328817903952,,,,,
1933-04-01,0.06852570240013023,,,,,
1933-05-01,0.15318403599185038,,,,,
1933-06-01,0.142733625650463,,,,,
1933-07-01,0.08946736497734942,,,,,
1933-08-01,-0.041376969860408064,,,,,
1933-09-01,-0.057999748451394995,,,,,
