Date,delta_s,s
2000-08-31,0.12738374472879954,0.12738374472879954
2000-09-01,0.1235308039975142,0.25091454872631375
2000-09-05,0.7145852956882819,0.9654998444145957
2000-09-06,0.9533962547179826,1.9188960991325783
2000-09-08,2.371372278037551,4.290268377170129
2000-09-11,-3.0241913186397475,1.2660770585303815
2000-09-12,2.839937649183012,4.106014707713394
2000-09-13,-1.4144271393093764,2.6915875684040174
2000-09-14,-0.9681235899171512,1.7234639784868662
2000-09-18,0.5536450323965412,2.2771090108834073
2000-09-19,1.8515937207788635,4.128702731662271
2000-09-20,-0.12556061186957557,4.003142119792695
2000-09-21,0.7321988309573255,4.735340950750021
2000-09-22,-5.575223684565349,-0.8398827338153279
2000-09-25,-2.0137995383067735,-2.8536822721221013
2000-09-26,-0.8769420878630085,-3.73062435998511
2000-09-27,0.47532300208040335,-3.2553013579047065
2000-09-28,0.4296629347850476,-2.825638423119659
2000-09-29,9.952632265616614,7.126993842496955
2000-10-02,0.9446055250201084,8.071599367517063
2000-10-03,3.0154376770005946,11.087037044517658
2000-10-04,-0.29725684635080185,10.789780198166856
2000-10-05,-1.2111596382318588,9.578620559934997
2000-10-06,-1.9201456706324889,7.658474889302508
2000-10-09,-0.09892149097467673,7.559553398327831
2000-10-10,2.119840285319108,9.67939368364694
2000-10-11,1.9919929371841292,11.671386620831068
2000-10-12,0.9030579779011241,12.574444598732192
2000-10-13,5.171680258747312,17.746124857479504
2000-10-16,-2.43672546851284,15.309399388966664
2000-10-17,-4.207341848756569,11.102057540210096
2000-10-18,-0.08413052587526515,11.01792701433483
2000-10-19,0.021589249986966763,11.039516264321797
2000-10-23,-1.714273841142223,9.325242423179574
2000-10-25,-1.011638827802292,8.313603595377282
2000-10-26,-1.5660864250430304,6.747517170334252
2000-10-27,1.0403259657166402,7.787843136050892
2000-10-30,-3.862390218469945,3.925452917580947
2000-11-02,0.28505612841314765,4.210509045994095
2000-11-06,-0.3796414205487988,3.830867625445296
2000-11-07,0.972525174911862,4.803392800357158
2000-11-08,1.2428000675056312,6.046192867862789
2000-11-09,0.5017168124891285,6.547909680351918
2000-11-13,1.2800865895205158,7.8279962698724335
2000-11-14,0.7186310371432691,8.546627307015703
2000-11-15,1.1298285319965817,9.676455839012284
2000-11-16,1.2936874703535146,10.970143309365799
2000-11-17,-1.8646294815017797,9.10551382786402
2000-11-20,1.468244271935184,10.573758099799203
2000-11-21,-0.3096793173500707,10.264078782449133
2000-11-22,-0.2856723892330404,9.978406393216092
2000-11-27,0.5975258981766505,10.575932291392743
2000-11-28,-0.12162470557550265,10.45430758581724
2000-11-29,-2.863325772928625,7.590981812888615
2000-11-30,-0.4253128849881769,7.165668927900438
2000-12-01,-0.9472096514789072,6.218459276421531
2000-12-04,-2.5482124996612256,3.6702467767603055
2000-12-18,0.13020673289526652,3.800453509655572
2000-12-21,1.9372338263625748,5.737687336018147
2000-12-27,1.404524749988446,7.142212086006593
2000-12-28,-0.2696019264063505,6.872610159600242
2000-12-29,-2.294942430405298,4.577667729194944
2001-01-02,2.6610785901431537,7.238746319338098
2001-01-16,-0.7448500525426418,6.493896266795456
2001-01-17,-0.23381454507864685,6.260081721716809
2001-01-18,-3.172171001736407,3.0879107199804023
2001-01-19,2.1000408586806065,5.187951578661009
2001-01-22,3.4204886532983405,8.60844023195935
2001-01-23,-0.402454710247774,8.205985521711575
2001-01-24,-5.130365142353364,3.0756203793582113
2001-01-25,-0.9053830070928894,2.170237372265322
2001-01-26,0.8228591208802802,2.993096493145602
2001-01-29,0.43684575225908784,3.42994224540469
2001-01-30,-2.723530866713913,0.7064113786907771
2001-01-31,2.704743201462495,3.411154580153272
2001-02-01,-1.389694969774523,2.021459610378749
2001-02-02,3.6296215220449066,5.651081132423656
2001-02-05,3.0309900476074,8.682071180031055
2001-02-06,-2.986354352706001,5.695716827325055
2001-02-07,-0.6118779889812362,5.0838388383438184
2001-02-08,2.3821298638559396,7.465968702199758
2001-02-09,0.11725198171188644,7.5832206839116445
2001-02-12,-1.0262116343483125,6.557009049563332
2001-02-14,-1.6332112315248883,4.923797818038444
2001-02-15,-2.020474276377426,2.9033235416610177
2001-02-16,-1.5466482693658523,1.3566752722951654
2001-02-20,0.9431153825891607,2.299790654884326
2001-02-21,-1.8355799466381648,0.4642107082461613
2001-02-22,-0.04422982783284635,0.41998088041331494
2001-02-26,0.3436515596338324,0.7636324400471474
2001-02-27,-0.9978675607990378,-0.23423512075189046
2001-02-28,-0.6785782715544941,-0.9128133923063846
2001-03-01,-1.3797729796943208,-2.2925863720007054
2001-03-02,1.1434361801321449,-1.1491501918685605
2001-03-07,0.6159819422167074,-0.533168249651853
2001-03-09,1.524741355297187,0.991573105645334
2001-03-12,-1.4867176888876266,-0.4951445832422926
2001-03-15,1.1822309715587593,0.6870863883164668
2001-03-16,0.9805724754271319,1.6676588637435987
2001-03-19,-0.5121494676011518,1.155509396142447
2001-03-20,-1.0652783984855254,0.09023099765692155
2001-03-21,-0.0852131642683203,0.005017833388601248
2001-03-22,1.8821698658621675,1.8871876992507688
2001-03-23,-0.5545451969831401,1.3326425022676287
2001-03-26,1.4060839637474687,2.7387264660150974
2001-03-27,0.7898825675894892,3.5286090336045866
2001-03-28,1.4127746477064815,4.941383681311068
2001-03-29,-4.442510710728989,0.4988729705820788
2001-04-02,-0.21023516444769796,0.28863780613438084
2001-04-04,-1.678093797847334,-1.3894559917129532
2001-04-05,2.548544511380653,1.1590885196676999
2001-04-06,1.1598548446258803,2.31894336429358
2001-04-09,-0.27015670557873017,2.04878665871485
2001-04-10,0.4755948491585493,2.5243815078733993
2001-04-11,2.2369221975607045,4.761303705434104
2001-04-12,-1.1496418397882637,3.61166186564584
2001-04-16,0.6234908303057107,4.235152695951551
2001-04-17,2.037781110855092,6.272933806806643
2001-04-18,-1.833215138448045,4.439718668358598
2001-04-19,-1.096366138743707,3.343352529614891
2001-04-20,0.1135445402828128,3.4568970698977037
2001-04-23,-1.4518044060237911,2.0050926638739126
2001-04-24,0.5141168783578212,2.5192095422317338
2001-04-25,-1.91222385035313,0.6069856918786039
2001-04-26,0.46340082374034575,1.0703865156189496
2001-04-27,2.8139852728090933,3.8843717884280426
2001-04-30,0.34528189994214475,4.229653688370187
2001-05-01,-0.2974321744315196,3.932221513938668
2001-05-02,1.5912483115387364,5.523469825477404
2001-05-03,-2.7297095460608505,2.7937602794165537
2001-05-04,1.444110971236218,4.237871250652772
2001-05-07,-0.5217992862385552,3.7160719644142164
2001-05-09,-1.4760655123609245,2.240006452053292
2001-05-10,1.4028153445978528,3.6428217966511447
2001-05-11,0.8547877600695557,4.4976095567207
2001-05-14,-0.4017712966807361,4.095838260039964
2001-05-15,0.6030440487999185,4.698882308839883
2001-05-16,2.5901346367711646,7.289016945611047
2001-05-17,-0.9475199802840883,6.341496965326959
2001-05-18,-0.07553548553573464,6.265961479791224
2001-05-21,2.8303332294794696,9.096294709270694
2001-05-22,-0.984683456632272,8.111611252638422
2001-05-23,-1.1507099641912681,6.960901288447154
2001-05-24,-0.6323660267569329,6.328535261690221
2001-05-25,-2.696632254664765,3.631903007025456
2001-05-29,-0.243176788080246,3.38872621894521
2001-05-30,-0.5027094668883385,2.8860167520568716
2001-05-31,1.3087150116318842,4.194731763688756
2001-06-01,-0.5924636387729585,3.6022681249157973
2001-06-04,-0.3250867544675722,3.277181370448225
2001-06-05,0.8849556775551153,4.16213704800334
2001-06-06,-0.3895594973493064,3.772577550654034
2001-06-07,-1.5908414705675433,2.1817360800864907
2001-06-08,0.6130873043251186,2.7948233844116093
2001-06-12,2.0990091821894516,4.893832566601061
2001-06-13,0.6353899510432433,5.529222517644304
2001-06-14,-0.9501334723555726,4.579089045288732
2001-06-15,0.0071034503471594235,4.586192495635891
2001-06-18,-1.5853126818156187,3.0008798138202724
2001-06-19,-2.1203226199569207,0.8805571938633516
2001-06-20,0.4915127087564717,1.3720699026198233
2001-06-21,-2.5502418917005683,-1.178171989080745
2001-06-22,0.2619532225907698,-0.9162187664899751
2001-06-25,0.6388038830140546,-0.2774148834759206
2001-06-26,-0.03899613942349334,-0.3164110228994139
2001-06-27,-0.6552270628762802,-0.9716380857756941
2001-06-28,-3.3535665173857816,-4.325204603161476
2001-06-29,0.4227910499504741,-3.9024135532110016
2001-07-02,1.0793969103639962,-2.8230166428470054
2001-07-03,-0.40273631565936086,-3.2257529585063662
2001-07-05,1.309318118893114,-1.9164348396132522
2001-07-06,1.8419120613025508,-0.07452277831070142
2001-07-09,3.340950169517444,3.2664273912067423
2001-07-10,-1.4017873269087917,1.8646400642979506
2001-07-11,0.7103817813781799,2.5750218456761305
2001-07-12,0.23579946745909508,2.8108213131352255
2001-07-13,-0.0712943795176737,2.739526933617552
2001-07-16,0.4641432894985549,3.2036702231161067
2001-07-17,-2.4908889524267153,0.7127812706893915
2001-07-18,0.05487249368628477,0.7676537643756762
2001-07-19,-2.1801184394749473,-1.4124646750992709
2001-07-20,-0.5030638657376361,-1.915528540836907
2001-07-23,2.038684974293254,0.12315643345634686
2001-07-24,0.5151615671562727,0.6383180006126196
2001-07-25,1.2050429044945599,1.8433609051071795
2001-07-26,2.099834570909377,3.9431954760165566
2001-07-27,-0.598065200709442,3.3451302753071146
2001-07-30,0.6292411884482312,3.974371463755346
2001-07-31,-2.1917546340079923,1.7826168297473532
2001-08-01,-1.090333702411046,0.6922831273363073
2001-08-02,0.9802510235597524,1.6725341508960596
2001-08-03,2.1388443129227026,3.8113784638187624
2001-08-06,-1.2659035422658436,2.545474921552919
2001-08-07,-0.024374612488362146,2.5211003090645567
2001-08-08,0.732695537541141,3.2537958466056978
2001-08-09,-0.45453868264182606,2.7992571639638717
2001-08-10,0.48596664766127606,3.2852238116251478
2001-08-13,1.4531533129193814,4.738377124544529
2001-08-14,-0.5067468664610164,4.231630258083513
2001-08-15,0.6598853547498154,4.891515612833328
2001-08-16,0.11911743294482857,5.010633045778157
2001-08-17,-0.8024230724460892,4.2082099733320675
2001-08-20,-1.7503987833616383,2.457811189970429
2001-08-21,0.23580869020505713,2.6936198801754863
2001-08-22,1.6186548863397903,4.3122747665152765
2001-08-23,-3.9896336199938442,0.3226411465214323
2001-08-24,0.6854101559369239,1.0080513024583562
2001-08-27,0.5006099771850958,1.508661279643452
2001-08-28,-1.3018288940254932,0.2068323856179588
2001-08-29,1.1109482772600527,1.3177806628780115
2001-08-30,-1.2824787440540804,0.03530191882393113
2001-09-04,-0.300329204059905,-0.26502728523597385
2001-09-05,-0.5592444749393297,-0.8242717601753036
2001-09-06,0.5614700531345965,-0.26280170704070704
2001-09-10,1.3236957972847856,1.0608940902440787
2001-09-18,-1.453848965675343,-0.3929548754312644
2001-09-19,-2.6731711781199,-3.0661260535511645
2001-09-20,-2.6867893010582224,-5.752915354609387
2001-09-21,-0.43625228102048297,-6.18916763562987
2001-09-25,-0.5770723177217452,-6.766239953351615
2001-09-26,-0.23129434669294469,-6.99753430004456
2001-09-27,1.6536242839662663,-5.3439100160782935
2001-09-28,3.607158283145196,-1.7367517329330977
2001-10-01,1.7731729508345837,0.036421217901486
2001-10-02,-0.5940284950646109,-0.5576072771631249
2001-10-03,-1.4866478815137536,-2.0442551586768785
2001-10-04,-1.5041249697256012,-3.5483801284024796
2001-10-05,2.402408316433727,-1.1459718119687525
2001-10-08,-0.9944698742210245,-2.140441686189777
2001-10-09,0.869795250470299,-1.270646435719478
2001-10-10,0.5105042591059372,-0.7601421766135408
2001-10-11,0.394214318239988,-0.3659278583735528
2001-10-12,2.344930368605155,1.979002510231602
2001-10-15,-2.290208694607255,-0.31120618437565306
2001-10-17,-1.3788532112309335,-1.6900593956065866
2001-10-18,-0.6532491836604801,-2.3433085792670667
2001-10-19,-0.6281863299675976,-2.9714949092346643
2001-10-22,2.1792229224230257,-0.7922719868116386
2001-10-23,0.2216496786718315,-0.5706223081398071
2001-10-24,-0.369904010734489,-0.940526318874296
2001-10-26,2.5935539232821263,1.6530276044078303
2001-10-29,1.0078923684132688,2.660919972821099
2001-10-30,0.893520922680791,3.55444089550189
2001-10-31,-2.0813389622001086,1.4731019333017814
2001-11-01,-1.3577746455509825,0.11532728775079892
2001-11-02,-2.1254098964831245,-2.0100826087323256
2001-11-05,-0.7932159195539272,-2.803298528286253
2001-11-06,-1.5468100240579057,-4.3501085523441585
2001-11-07,-0.030838369262058407,-4.380946921606217
2001-11-08,0.9376531174367351,-3.443293804169482
2001-11-09,3.315144313214149,-0.1281494909553329
2001-11-12,2.86321676381746,2.735067272862127
2001-11-13,-2.959852883721715,-0.22478561085958804
2001-11-14,1.221068454247766,0.9962828433881781
2001-11-15,-5.684258833118939,-4.687975989730761
2001-11-16,-6.844835609545505,-11.532811599276267
2001-11-19,2.4514174219833986,-9.081394177292868
2001-11-20,0.42755466725675717,-8.65383951003611
2001-11-21,4.973808617756144,-3.6800308922799667
2001-11-26,-0.5130167472842668,-4.1930476395642335
2001-11-27,-1.0359034165682717,-5.228951056132505
2001-11-28,1.562341852958042,-3.6666092031744633
2001-11-29,-1.477289930025968,-5.143899133200431
2001-11-30,-1.1774512609294039,-6.321350394129835
2001-12-03,3.5942202809375168,-2.7271301131923185
2001-12-04,2.610627528911611,-0.11650258428070748
