,delta_s,s
2000-09-25,-0.794973479386337,-0.794973479386337
2000-09-26,-0.745031235339888,-1.540004714726225
2000-09-27,0.14498154189088241,-1.3950231728353426
2000-09-29,0.020580829532296452,-1.3744423433030462
2000-10-02,0.6091862842442904,-0.7652560590587557
2000-10-03,1.0651931612335737,0.29993710217481795
2000-10-04,-0.13251291496487155,0.1674241872099464
2000-10-05,-0.3255797466462139,-0.15815555943626755
2000-10-06,-0.6012566545106335,-0.7594122139469011
2000-10-10,0.47453122941501247,-0.2848809845318886
2000-10-11,0.9360854321633915,0.6512044476315029
2000-10-12,0.06614564384055133,0.7173500914720542
2000-10-16,2.1760248900135575,2.8933749814856116
2000-10-17,-1.7670122571368188,1.1263627243487928
2000-10-18,0.09542931486277961,1.2217920392115724
2000-10-19,0.5203376439267837,1.7421296831383561
2000-10-23,-0.5107657748951764,1.2313639082431798
2000-10-25,-0.3477774869184269,0.8835864213247528
2000-10-26,-0.19835096744583125,0.6852354538789216
2000-10-27,0.7460757160904645,1.4313111699693861
2000-10-30,-2.1033765002300226,-0.6720653302606368
2000-11-02,0.2414568487347154,-0.43060848152592135
2000-11-06,-0.4608885477958934,-0.8914970293218147
2000-11-07,0.35719709370055996,-0.5342999356212548
2000-11-08,0.34306415369999294,-0.19123578192126184
2000-11-09,-0.13221839592435958,-0.3234541778456214
2000-11-13,0.6500656999588359,0.3266115221132144
2000-11-14,0.4226987994088076,0.749310321522022
2000-11-15,0.06304604706332939,0.8123563685853514
2000-11-16,0.4575364705190075,1.269892839104359
2000-11-17,-0.4919705831380212,0.7779222559663377
2000-11-20,0.5147486061822635,1.2926708621486012
2000-11-21,-0.41667530322989155,0.8759955589187096
2000-11-22,-0.10307873377220145,0.7729168251465082
2000-11-27,0.37800509171323493,1.150921916859743
2000-11-28,-0.33000406291616935,0.8209178539435737
2000-11-30,-1.9496985006026721,-1.1287806466590984
2000-12-01,-0.39510711125543185,-1.5238877579145302
2000-12-04,-2.264463073775686,-3.7883508316902166
2000-12-21,0.03848978094365574,-3.749861050746561
2000-12-28,0.8224248954282523,-2.9274361553183086
2000-12-29,-0.09230439166281101,-3.0197405469811196
2001-01-02,1.7576232310970659,-1.2621173158840537
2001-01-16,1.5542544059626737,0.29213709007862
2001-01-17,0.6366353060942168,0.9287723961728368
2001-01-18,-0.03863655239964048,0.8901358437731963
2001-01-19,0.5747652873575062,1.4649011311307025
2001-01-22,0.9437503953536273,2.40865152648433
2001-01-23,0.245047220628547,2.653698747112877
2001-01-24,-2.2509314557968887,0.4027672913159881
2001-01-25,-0.2775656328466175,0.1252016584693706
2001-01-26,-0.05769738481805438,0.06750427365131621
2001-01-29,0.5862160688603015,0.6537203425116177
2001-01-30,-0.5678872285006364,0.0858331140109812
2001-02-01,0.32134034204541934,0.40717345605640054
2001-02-02,-2.9137552996799307,-2.5065818436235303
2001-02-05,1.2903195634700768,-1.2162622801534535
2001-02-06,-0.03668580576603375,-1.2529480859194873
2001-02-07,-0.2198267731273027,-1.47277485904679
2001-02-08,1.0246246577164801,-0.4481502013303097
2001-02-09,0.2521795575306968,-0.19597064379961288
2001-02-12,-0.35120821389245166,-0.5471788576920645
2001-02-14,-0.2438158963261413,-0.7909947540182058
2001-02-15,-0.2449995113650536,-1.0359942653832594
2001-02-16,-0.9834501427995046,-2.019444408182764
2001-02-20,0.7079571390958153,-1.3114872690869488
2001-02-21,-0.1271068961366768,-1.4385941652236256
2001-02-22,0.3121931779806877,-1.126400987242938
2001-02-26,0.5640320793100777,-0.5623689079328602
2001-02-27,-0.3980592117133772,-0.9604281196462374
2001-02-28,-0.7977259855297407,-1.7581541051759781
2001-03-01,-0.5017010891265301,-2.2598551943025083
2001-03-02,-0.9027868565082633,-3.1626420508107715
2001-03-07,0.1172556047116946,-3.045386446099077
2001-03-09,1.320258461466009,-1.725127984633068
2001-03-12,-1.4212360126385186,-3.1463639972715867
2001-03-15,0.6389503238627867,-2.5074136734088
2001-03-19,1.374795475789038,-1.132618197619762
2001-03-20,-0.8105439047860821,-1.943162102405844
2001-03-21,0.13899563921000557,-1.8041664631958385
2001-03-22,1.7250870270839822,-0.0790794361118563
2001-03-26,-1.6022392552782305,-1.6813186913900868
2001-03-27,-0.15533483721493857,-1.8366535286050254
2001-03-28,0.22443153574123498,-1.6122219928637904
2001-03-29,-1.372985915265655,-2.9852079081294454
2001-04-02,0.3134197357103403,-2.671788172419105
2001-04-04,-3.6676844403385704,-6.3394726127576755
2001-04-05,1.3653502480603974,-4.974122364697278
2001-04-06,0.7248737765716307,-4.249248588125647
2001-04-09,0.46767831599488074,-3.7815702721307667
2001-04-10,0.344278428582641,-3.4372918435481257
2001-04-11,1.2515487487728287,-2.185743094775297
2001-04-12,-0.22468181484522676,-2.4104249096205237
2001-04-16,0.4949536171768729,-1.9154712924436508
2001-04-17,-0.1782165806308047,-2.0936878730744555
2001-04-18,0.4420919756464554,-1.651595897428
2001-04-19,-1.1565908636656086,-2.8081867610936087
2001-04-20,0.046586815355013744,-2.761599945738595
2001-04-23,-0.23401353359054333,-2.9956134793291382
2001-04-24,0.7298650915841591,-2.265748387744979
2001-04-25,-0.5844182572703409,-2.85016664501532
2001-04-26,0.4516729706807814,-2.3984936743345386
2001-04-27,1.3876455980920284,-1.0108480762425103
2001-04-30,0.5948313457395598,-0.4160167305029505
