,cpi,price_index,oil_price,ppi,hour_earnings
1924-12-01,,,,0.02312241742085419,
1925-01-01,,,,0.011363758650314804,
1925-02-01,,,,0.011236073266925661,
1925-03-01,,,,0.0,
1925-04-01,,,,-0.022599831917240465,
1925-05-01,,,,0.0,
1925-06-01,,,,0.011363758650314804,
1925-07-01,,,,0.016807118316381153,
1925-08-01,,,,-0.005571045049455492,
1925-09-01,,,,-0.005602255548669444,
1925-10-01,,,,0.0,
1925-11-01,,,,0.011173300598124936,
1925-12-01,,,,-0.011173300598124936,
1926-01-01,,,,0.0,
1926-02-01,,,,-0.011299555253933224,
1926-03-01,,,,-0.017192400540372965,
1926-04-01,,,,0.0,
1926-05-01,,,,0.0,
1926-06-01,,,,0.0,
1926-07-01,,,,-0.011628037995119023,
1926-08-01,,,,0.0,
1926-09-01,,,,0.005830920310792909,
1926-10-01,,,,-0.005830920310792909,
1926-11-01,,,,-0.005865119452398204,
1926-12-01,,,,-0.005899722127188589,
1927-01-01,,,,-0.030032287098874733,
1927-02-01,,,,0.012121360532344916,
1927-03-01,,,,-0.006042314455962927,
1927-04-01,,,,-0.01219527309381796,
1927-05-01,,,,-0.006153865574378692,
1927-06-01,,,,0.0,
1927-07-01,,,,0.0,
1927-08-01,,,,0.012270092591814663,
1927-09-01,,,,0.012121360532344916,
1927-10-01,,,,0.006006024060211779,
1927-11-01,,,,-0.006006024060211779,
1927-12-01,,,,0.0,
1928-01-01,,,,0.0,
1928-02-01,,,,-0.006042314455962927,
1928-03-01,,,,0.0,
1928-04-01,,,,0.012048338516174706,
1928-05-01,,,,0.0059701669865037665,
1928-06-01,,,,-0.0059701669865037665,
1928-07-01,,,,0.0059701669865037665,
1928-08-01,,,,0.0,
1928-09-01,,,,0.01183445764700286,
1928-10-01,,,,-0.017804624633506627,
1928-11-01,,,,-0.012048338516174706,
1928-12-01,,,,0.0,
1929-01-01,,,,0.0,
1929-02-01,,,,-0.006079046076381989,
1929-03-01,,,,0.012121360532344916,
1929-04-01,,,,-0.006042314455962927,
1929-05-01,,,,-0.01219527309381796,
1929-06-01,,,,0.006116227017435971,
1929-07-01,,,,0.012121360532344916,
1929-08-01,,,,0.0,
1929-09-01,,,,0.0,
1929-10-01,,,,-0.012121360532344916,
1929-11-01,,,,-0.018462062839735616,
1929-12-01,,,,0.0,
1930-01-01,,,,-0.01250016276423116,
1930-02-01,,,,-0.012658396871923827,
1930-03-01,,,,-0.012820688429061367,
1930-04-01,,,,0.0,
1930-05-01,,,,-0.012987195526811046,
1930-06-01,,,,-0.019802627296179764,
1930-07-01,,,,-0.03390155167568132,
1930-08-01,,,,0.0,
1930-09-01,,,,0.0,
1930-10-01,,,,-0.013889112160667239,
1930-11-01,,,,-0.0212022076506031,
1930-12-01,,,,-0.021661496781179235,
1931-01-01,,,,-0.014706147389695445,
1931-02-01,,,,-0.022472855852058604,
1931-03-01,,,,-0.007604599385219402,
1931-04-01,,,,-0.015384918839479234,
1931-05-01,,,,-0.023530497410194418,
1931-06-01,,,,-0.016000341346440905,
1931-07-01,,,,0.0,
1931-08-01,,,,0.0,
1931-09-01,,,,-0.008097210232619112,
1931-10-01,,,,-0.016393809775676615,
1931-11-01,,,,0.0,
1931-12-01,,,,-0.025105921131076236,
1932-01-01,,,,-0.017094433359300165,
1932-02-01,,,,-0.017391742711869274,
1932-03-01,,,,0.0,
1932-04-01,,,,-0.008810629682154847,
1932-05-01,,,,-0.017857617400006465,
1932-06-01,,,,-0.009049835519917782,
1932-07-01,,,,0.009049835519917782,
1932-08-01,,,,0.008968669982760247,
1932-09-01,,,,0.008888947417246218,
1932-10-01,,,,-0.017857617400006465,
1932-11-01,,,,-0.009049835519917782,
1932-12-01,,,,-0.018349138668196652,
1933-01-01,,,,-0.0281708769666964,
1933-02-01,,,,-0.019231361927887658,
1933-03-01,,,,0.00966191091173707,
1933-04-01,,,,0.0,
1933-05-01,,,,0.03774032798284699,
1933-06-01,,,,0.03636764417087468,
1933-07-01,,,,0.06062462181643502,
1933-08-01,,,,0.008368249670516636,
1933-09-01,,,,0.016529301951210496,
1933-10-01,,,,0.008163310639161203,
1933-11-01,,,,0.0,
1933-12-01,,,,-0.008163310639161203,
1934-01-01,,,,0.016260520871780315,
1934-02-01,,,,0.023905520853554574,
1934-03-01,,,,0.0,
1934-04-01,,,,0.0,
