Date,AAPL,ORCL,MSFT,IBM
2000-01-03,0.8377241492271423,23.44764518737793,35.44361877441406,56.6710090637207
2000-01-04,0.767095685005188,21.37582015991211,34.246334075927734,54.747398376464844
2000-01-05,0.778320848941803,20.246854782104492,34.607425689697266,56.6710090637207
2000-01-06,0.7109662890434265,19.055862426757812,33.44811248779297,55.69395446777344
2000-01-07,0.7446438670158386,20.519794464111328,33.88523483276367,55.449668884277344
2000-01-10,0.731546938419342,22.976211547851562,34.132293701171875,57.64809036254883
2000-01-11,0.6941277980804443,22.306278228759766,33.258087158203125,58.13664627075195
2000-01-12,0.6524989008903503,20.966405868530273,32.174800872802734,58.38090133666992
2000-01-13,0.7240626811981201,20.854761123657227,32.78295135498047,57.77021026611328
2000-01-14,0.7516595721244812,21.202129364013672,34.132293701171875,58.44198226928711
2000-01-18,0.7778530120849609,22.082963943481445,35.063507080078125,56.54886245727539
2000-01-19,0.7974986433982849,22.678468704223633,32.535911560058594,58.38090133666992
2000-01-20,0.8494178056716919,23.522083282470703,32.231834411621094,58.13664627075195
2000-01-21,0.833047091960907,23.695768356323242,31.54766273498535,59.358009338378906
2000-01-24,0.7951599359512329,21.512287139892578,30.787464141845703,59.358009338378906
2000-01-25,0.8400627970695496,22.405534744262695,31.262590408325195,58.19772720336914
2000-01-26,0.8246274590492249,21.859657287597656,30.21733283996582,57.037418365478516
2000-01-27,0.8232245445251465,20.569419860839844,30.027297973632812,55.449668884277344
2000-01-28,0.7605469226837158,18.807735443115234,29.87526512145996,54.50308609008789
2000-01-31,0.7764498591423035,19.831256866455078,29.76123809814453,54.83897399902344
2000-02-01,0.7502564191818237,21.437849044799805,31.300601959228516,53.73973846435547
2000-02-02,0.7394981384277344,21.561912536621094,30.65444564819336,55.449668884277344
2000-02-03,0.773175835609436,22.50478172302246,31.509645462036133,57.220611572265625
2000-02-04,0.8082567453384399,22.951396942138672,32.40288162231445,56.48781204223633
2000-02-07,0.85362708568573,23.79501724243164,32.421871185302734,55.75501251220703
2000-02-08,0.8597085475921631,23.646146774291992,33.42911911010742,58.10616683959961
2000-02-09,0.8428690433502197,23.79501724243164,31.623687744140625,57.403099060058594
2000-02-10,0.8494178056716919,24.73788833618164,32.231834411621094,58.258949279785156
2000-02-11,0.8138692378997803,23.695768356323242,30.388381958007812,56.425010681152344
